Reference	MT Abundance	Ref ID
P001|ALBU_BOVIN	0.0754	100
P001|ALBU_BOVIN	0.7432	100
P001|ALBU_BOVIN	0.0708	100
P001|ALBU_BOVIN	1.5856	100
P001|ALBU_BOVIN	0.0435	100
P001|ALBU_BOVIN	0.222	100
P001|ALBU_BOVIN	0.14678	100
P001|ALBU_BOVIN	6.55464	100
P001|ALBU_BOVIN	0.3282	100
P001|ALBU_BOVIN	11.3643	100
P001|ALBU_BOVIN	0.09	100
P001|ALBU_BOVIN	1.8223	100
P001|ALBU_BOVIN	0.0682	100
P001|ALBU_BOVIN	1.13081	100
P001|ALBU_BOVIN	0.64047	100
P001|ALBU_BOVIN	1.66764	100
P001|ALBU_BOVIN	0.045	100
P001|ALBU_BOVIN	2.94225	100
P001|ALBU_BOVIN	49.97408	100
P001|ALBU_BOVIN	2.7724	100
P001|ALBU_BOVIN	0.1711	100
P001|ALBU_BOVIN	1.76644	100
P001|ALBU_BOVIN	0.22639	100
P001|ALBU_BOVIN	0.7412	100
P001|ALBU_BOVIN	0.2504	100
P001|ALBU_BOVIN	0.125	100
P001|ALBU_BOVIN	2.7487	100
P001|ALBU_BOVIN	5.2418	100
P001|ALBU_BOVIN	1.17182	100
P001|ALBU_BOVIN	0.2962	100
P001|ALBU_BOVIN	1.0522	100
P001|ALBU_BOVIN	0.1756	100
P001|ALBU_BOVIN	0.2824	100
P001|ALBU_BOVIN	0.1004	100
P001|ALBU_BOVIN	0.0714	100
P001|ALBU_BOVIN	0.1024	100
P001|ALBU_BOVIN	0.7634	100
P001|ALBU_BOVIN	0.1335	100
P001|ALBU_BOVIN	0.37386	100
P001|ALBU_BOVIN	0.3282	100
P001|ALBU_BOVIN	0.07752	100
P001|ALBU_BOVIN	0.1438	100
P001|ALBU_BOVIN	0.15936	100
P001|ALBU_BOVIN	0.19202	100
P001|ALBU_BOVIN	0.9735	100
P001|ALBU_BOVIN	0.34703	100
P001|ALBU_BOVIN	0.206	100
P001|ALBU_BOVIN	0.258	100
P001|ALBU_BOVIN	0.12218	100
P001|ALBU_BOVIN	0.82032	100
P001|ALBU_BOVIN	0.074	100
P001|ALBU_BOVIN	0.29063	100
P001|ALBU_BOVIN	0.1768	100
P001|ALBU_BOVIN	0.21916	100
P001|ALBU_BOVIN	0.08789	100
P001|ALBU_BOVIN	0.1104	100
P001|ALBU_BOVIN	0.3978	100
P001|ALBU_BOVIN	0.0494	100
P001|ALBU_BOVIN	0.2597	100
P001|ALBU_BOVIN	8.93204	100
P001|ALBU_BOVIN	0.04488	100
P001|ALBU_BOVIN	0.2096	100
P001|ALBU_BOVIN	0.40018	100
P001|ALBU_BOVIN	52.176	100
P001|ALBU_BOVIN	7.5819	100
P001|ALBU_BOVIN	0.94188	100
P001|ALBU_BOVIN	4.021	100
P001|ALBU_BOVIN	21.0396	100
P001|ALBU_BOVIN	0.15207	100
P001|ALBU_BOVIN	0.6141	100
P001|ALBU_BOVIN	0.3524	100
P001|ALBU_BOVIN	0.34982	100
P001|ALBU_BOVIN	0.222	100
P001|ALBU_BOVIN	6.5016	100
P001|ALBU_BOVIN	0.3792	100
P001|ALBU_BOVIN	1.5856	100
P001|ALBU_BOVIN	0.7432	100
P001|ALBU_BOVIN	2.1477	100
P001|ALBU_BOVIN	0.14678	100
P001|ALBU_BOVIN	0.23725	100
P001|ALBU_BOVIN	0.32416	100
P001|ALBU_BOVIN	13.23518	100
P001|ALBU_BOVIN	0.31097	100
P001|ALBU_BOVIN	0.11615	100
P001|ALBU_BOVIN	7.5209	100
P001|ALBU_BOVIN	0.05868	100
P001|ALBU_BOVIN	1.28511	100
P001|ALBU_BOVIN	0.37432	100
P001|ALBU_BOVIN	0.597	100
P001|ALBU_BOVIN	1.0522	100
P001|ALBU_BOVIN	0.3392	100
P001|ALBU_BOVIN	0.22255	100
P001|ALBU_BOVIN	9.75702	100
P001|ALBU_BOVIN	0.92754	100
P001|ALBU_BOVIN	0.2408	100
P001|ALBU_BOVIN	39.50315	100
P001|ALBU_BOVIN	0.93722	100
P001|ALBU_BOVIN	1.17182	100
P001|ALBU_BOVIN	2.2228	100
P001|ALBU_BOVIN	0.64047	100
P001|ALBU_BOVIN	1.3299	100
P001|ALBU_BOVIN	2.7724	100
P001|ALBU_BOVIN	0.34452	100
P001|ALBU_BOVIN	0.1553	100
P001|ALBU_BOVIN	1.88564	100
